--- A078567 sequence check ---
a(1): PASS (0)
a(2): PASS (1)
a(3): PASS (4)
a(4): PASS (9)
a(5): PASS (17)
a(6): PASS (27)
a(7): PASS (41)
a(8): PASS (57)
a(9): PASS (77)
a(10): PASS (100)
a(11): PASS (127)

--- Identity check (all methods vs brute force, n <= 300) ---
All n in [2,300]: PASS

--- Asymptotic error and empirical theta ---
a(n) = n^2/2*log(n) + (g-3/4)*n^2 + n/4  +  err_osc
err_osc = O(n^{theta+1/2}).  ratio=1.0010  cutoff=1000
Below cutoff: fused verified vs hoying.  Above: fused only (trusted).
Computing 36860 sample points on 20 threads...

                   n   err_a/n^.75  env_max/n^.75   err_D/n^.25   combo/n^.25      θ_slope  method
                1000       0.01858       0.01858       1.27798       1.16558             -  verified
                1002       0.04662       0.04662             -             -     +460.6617  fused
                1003       0.06676       0.06676             -             -     +360.1614  fused
                1004       0.05359       0.06671             -             -     -220.2026  fused
                1005       0.02961       0.06666             -             -     -595.6652  fused
                1006       0.00604       0.06661             -             -    -1597.8596  fused
                1007      -0.02830       0.06656             -             -    +1554.2923  fused
                1008      -0.09574       0.09574             -             -    +1228.2272  fused
                1009      -0.03981       0.09567             -             -     -884.8466  fused
                1010      -0.01705       0.09560             -             -     -855.9164  fused
                1011      -0.00507       0.09553             -             -    -1224.6272  fused
                1012      -0.00386       0.09546             -             -     -277.2358  fused
                1013       0.02005       0.09539             -             -    +1669.6341  fused
                1014       0.01095       0.09532             -             -     -613.1288  fused
                1015       0.01340       0.09525             -             -     +205.5576  fused
                1016       0.02740       0.09518             -             -     +726.3333  fused
                1017       0.03070       0.09511             -             -     +115.8972  fused
                1018       0.02333       0.09504             -             -     -278.7966  fused
                1019       0.00534       0.09497             -             -    -1502.4161  fused
                1020      -0.05651       0.09490             -             -    +2406.1645  fused
                1021      -0.02923       0.09483             -             -     -672.5514  fused
                1022      -0.03472       0.09476             -             -     +176.1850  fused
                1023      -0.03974       0.09469             -             -     +138.3602  fused
                1024      -0.04429       0.09462             -             -     +111.0717  fused
                1025      -0.04283       0.09455             -             -      -34.0026  fused
                1026      -0.04090       0.09448             -             -      -47.1159  fused
                1027      -0.00541       0.09441             -             -    -2076.0960  fused
                1028       0.01950       0.09434             -             -    +1317.4946  fused
                1029       0.02285       0.09427             -             -     +163.3349  fused
